ID,Name,Gender,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
2892,Ade Franci Alleyne-Forte,M,23,180,73,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
3029,Jessica Alonso Bernardo,F,28,172,65,Spain,ESP,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Bronze
3052,"Mikhail Surenovich ""Misha"" Aloyan",M,23,164,52,Russia,RUS,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Flyweight,Bronze
3077,Ida Alstad,F,27,172,60,Norway,NOR,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Gold
3174,Lzaro Jorge lvarez Estrada,M,21,173,60,Cuba,CUB,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Bantamweight,Bronze
3206,Yuri Alvear Orjuela,F,26,176,70,Colombia,COL,2012 Summer,2012,Summer,London,Judo,Judo Women's Middleweight,Bronze
3227,Thiago Soares Alves,M,25,194,88,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Silver
3507,Vanessa Amors Quiles,F,29,165,62,Spain,ESP,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Bronze
3512,Nijel Carlos Amilfitano Amos,M,18,179,60,Botswana,BOT,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 800 metres,Silver
3593,An Kum-Ae,F,32,160,52,North Korea,PRK,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Lightweight,Gold
3792,Alyssa Jean Anderson,F,21,173,64,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
3820,Haley Danita Anderson,F,20,178,68,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 10 kilometres Open Water,Silver
3939,Kim Verner Andersson,M,29,200,105,Sweden,SWE,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Silver
3959,Erik Mattias Andersson,M,34,186,95,Sweden,SWE,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Silver
4014,Kozue Ando,F,30,164,57,Japan,JPN,2012 Summer,2012,Summer,London,Football,Football Women's Football,Silver
4211,Valeriy Oleksandrovych Andriitsev,M,25,181,97,Ukraine,UKR,2012 Summer,2012,Summer,London,Wrestling,Wrestling Men's Heavyweight  Freestyle,Silver
4449,Sajjad Anoushiravani Hamlabad,M,28,192,105,Iran,IRI,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver
4505,Carmelo Kyan Anthony,M,28,203,109,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
4577,Semyon Sergeyevich Antonov,M,23,202,97,Russia,RUS,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Bronze
4613,Nataliya Nikolayevna Antyukh,F,31,182,69,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 400 metres Hurdles,Gold
4613,Nataliya Nikolayevna Antyukh,F,31,182,69,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
4675,Nikolay Sergeyevich Apalikov,M,29,203,105,Russia,RUS,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Gold
4757,Javier Ignacio Aquino Carmona,M,22,165,62,Mexico,MEX,2012 Summer,2012,Summer,London,Football,Football Men's Football,Gold
4801,Erika Araki,F,27,186,78,Japan,JPN,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Bronze
4859,Adriana dos Santos Arajo,F,30,167,60,Brazil,BRA,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Lightweight,Bronze
5144,"Elizabeth Mary ""Lizzie"" Armitstead (-Deignan)",F,23,168,55,Great Britain,GBR,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Road Race  Individual,Silver
5152,"Elizabeth ""Betsey"" Armstrong",F,29,188,77,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
5167,Kristin Ann Armstrong (-Savola),F,38,173,58,United States,USA,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Individual Time Trial,Gold
5198,Judith Arndt,F,36,173,59,Germany,GER,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Individual Time Trial,Silver
5453,Laura Asadauskait-Zadneprovskien,F,28,160,49,Lithuania,LTU,2012 Summer,2012,Summer,London,Modern Pentathlon,Modern Pentathlon Women's Individual,Gold
5670,Valerio Aspromonte,M,25,187,84,Italy,ITA,2012 Summer,2012,Summer,London,Fencing,Fencing Men's Foil  Team,Gold
5687,Sofia Assefa Abebe,F,24,167,52,Ethiopia,ETH,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 3 000 metres Steeplechase,Bronze
5778,Abbos Atayev,M,26,186,75,Uzbekistan,UZB,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Middleweight,Bronze
5934,Sandra Auffarth,F,25,170,57,Germany,GER,2012 Summer,2012,Summer,London,Equestrianism,Equestrianism Mixed Three-Day Event  Individual,Bronze
5934,Sandra Auffarth,F,25,170,57,Germany,GER,2012 Summer,2012,Summer,London,Equestrianism,Equestrianism Mixed Three-Day Event  Team,Gold
5971,Seimone Delicia Augustus,F,28,183,74,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Gold
5979,Apti Khamzatovich Aukhadov,M,19,178,85,Russia,RUS,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
6126,Mariana Avitia Martnez,F,18,164,61,Mexico,MEX,2012 Summer,2012,Summer,London,Archery,Archery Women's Individual,Bronze
6131,Giorgio Avola,M,23,178,72,Italy,ITA,2012 Summer,2012,Summer,London,Fencing,Fencing Men's Foil  Team,Gold
6158,Suguru Awaji,M,22,174,67,Japan,JPN,2012 Summer,2012,Summer,London,Fencing,Fencing Men's Foil  Team,Silver
6256,"Luciana Paula ""Lucha"" Aymar",F,34,178,59,Argentina,ARG,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Silver
6269,David Valeryevich Ayrapetyan,M,28,158,49,Russia,RUS,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Flyweight,Bronze
6296,"Viktoriya Fyodorovna ""Vika"" Azarenko",F,22,183,60,Belarus,BLR,2012 Summer,2012,Summer,London,Tennis,Tennis Women's Singles,Bronze
6296,"Viktoriya Fyodorovna ""Vika"" Azarenko",F,22,183,60,Belarus,BLR,2012 Summer,2012,Summer,London,Tennis,Tennis Mixed Doubles,Gold
6397,"Alexander German ""Sander"" Baart",M,24,178,76,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Silver
6512,Marta Bach Pascual,F,19,176,66,Spain,ESP,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Silver
6554,Sebastian Bachmann,M,25,182,71,Germany,GER,2012 Summer,2012,Summer,London,Fencing,Fencing Men's Foil  Team,Bronze
6736,Baek Seong-Dong,M,20,171,66,South Korea,KOR,2012 Summer,2012,Summer,London,Football,Football Men's Football,Bronze
6784,Mohammad Bagheri Motamed,M,26,181,68,Iran,IRI,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Featherweight,Silver
6812,Kamal Bahamdan,M,42,172,69,Saudi Arabia,KSA,2012 Summer,2012,Summer,London,Equestrianism,Equestrianism Mixed Jumping  Team,Bronze
6912,Kemar Bailey-Cole,M,20,193,84,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
6922,"Timothy ""Tim"" Baillie",M,33,176,78,Great Britain-1,GBR,2012 Summer,2012,Summer,London,Canoeing,Canoeing Men's Canadian Doubles  Slalom,Gold
6934,Angie Lee Bainbridge,F,22,181,67,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
7021,Keshia Chantay Baker (-Kirtz),F,24,170,62,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
7072,Billy Pierre Bakker,M,23,188,82,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Silver
7217,Andrea Baldini,M,26,175,70,Italy,ITA,2012 Summer,2012,Summer,London,Fencing,Fencing Men's Foil  Team,Gold
7253,Ivano Bali,M,33,190,96,Croatia,CRO,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Bronze
7273,Marcel Gerard Balkestein,M,31,180,77,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Silver
7277,Ashleigh Julia Ball,F,26,181,70,Great Britain,GBR,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Bronze
7347,Coralie Balmy,F,25,180,67,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
7612,Carina Br,F,22,185,75,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Quadruple Sculls,Silver
7627,Samir Bara,M,38,188,95,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
7632,Xavier Barachet,M,23,195,95,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold
7852,Andrea Bari,M,32,184,80,Italy,ITA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Bronze
7874,Sonja Barjaktarovi,F,25,180,74,Montenegro,MNE,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Silver
7967,"Patrick Gerard ""Paddy"" Barnes",M,25,163,49,Ireland,IRL,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Flyweight,Bronze
7998,Andrea Barno San Martn,F,32,175,64,Spain,ESP,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Bronze
8051,Bronte Amelia Arnold Barratt,F,23,171,59,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Freestyle,Bronze
8051,Bronte Amelia Arnold Barratt,F,23,171,59,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
8088,Brigetta LaShea Barrett,F,21,183,64,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's High Jump,Silver
8133,Mara Noel Barrionuevo,F,28,171,58,Argentina,ARG,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Silver
